1:06:00:01:00,19,8
1:06:00:37:51,6,0
1:06:00:02:00,0,6
1:06:00:25:12,8,19
1:06:00:12:00,19,8
1:06:00:30:51,6,0
1:06:00:18:00,0,6
1:06:00:29:36,8,19
1:06:00:21:00,19,8
1:06:00:39:51,6,0
1:06:00:45:00,0,6
1:06:00:56:36,8,19
1:06:00:57:00,19,8
1:06:01:15:51,6,0
1:06:04:46:00,0,6
1:06:04:57:36,8,19
1:06:04:48:00,19,8
1:06:05:06:51,6,0
1:06:04:50:00,0,6
1:06:05:01:36,8,19
1:06:04:56:00,19,8
1:06:05:14:51,6,0
1:06:05:00:00,0,6
1:06:05:11:36,8,19
1:06:05:03:00,0,6
1:06:05:14:36,8,19
1:06:05:05:00,19,8
1:06:05:23:51,6,0
1:06:05:12:00,19,8
1:06:05:30:51,6,0
1:06:05:18:00,0,6
1:06:05:29:36,8,19
1:06:05:20:00,19,8
1:06:05:38:51,6,0
1:06:05:33:00,0,6
1:06:05:44:36,8,19
1:06:05:35:00,19,8
1:06:05:53:51,6,0
1:06:05:48:00,0,6
1:06:05:59:36,8,19
1:06:05:57:00,19,8
1:06:06:15:51,6,0
1:06:06:05:00,0,6
1:06:06:16:36,8,19
1:06:06:12:00,19,8
1:06:06:30:51,6,0
1:06:06:16:00,0,6
1:06:06:27:36,8,19
1:06:06:18:00,19,8
1:06:06:36:51,6,0
1:06:06:21:00,0,6
1:06:06:32:36,8,19
1:06:06:25:00,0,6
1:06:06:36:36,8,19
1:06:06:27:00,19,8
1:06:06:45:51,6,0
1:06:06:35:00,0,6
1:06:06:46:36,8,19
1:06:06:39:00,19,8
1:06:06:57:51,6,0
1:06:06:45:00,0,6
1:06:06:56:36,8,19
1:06:06:49:00,19,8
1:06:07:07:51,6,0
1:06:06:55:00,0,6
1:06:07:06:36,8,19
1:06:06:59:00,19,8
1:06:07:17:51,6,0
1:06:07:05:00,0,6
1:06:07:16:36,8,19
1:06:07:09:00,19,8
1:06:07:27:51,6,0
1:06:07:11:00,0,6
1:06:07:22:36,8,19
1:06:07:19:00,19,8
1:06:07:37:51,6,0
1:06:07:25:00,0,6
1:06:07:36:36,8,19
1:06:07:29:00,19,8
1:06:07:47:51,6,0
1:06:07:35:00,0,6
1:06:07:46:36,8,19
1:06:07:39:00,19,8
1:06:07:57:51,6,0
1:06:07:45:00,0,6
1:06:07:56:36,8,19
1:06:07:49:00,19,8
1:06:08:07:51,6,0
1:06:07:55:00,0,6
1:06:08:06:36,8,19
1:06:07:59:00,19,8
1:06:08:17:51,6,0
1:06:08:05:00,0,6
1:06:08:16:36,8,19
1:06:08:09:00,19,8
1:06:08:27:51,6,0
1:06:08:15:00,0,6
1:06:08:26:36,8,19
1:06:08:19:00,19,8
1:06:08:37:51,6,0
1:06:08:25:00,0,6
1:06:08:36:36,8,19
1:06:08:29:00,19,8
1:06:08:47:51,6,0
1:06:08:35:00,0,6
1:06:08:46:36,8,19
1:06:08:39:00,19,8
1:06:08:57:51,6,0
1:06:08:45:00,0,6
1:06:08:56:36,8,19
1:06:08:49:00,19,8
1:06:09:07:51,6,0
1:06:08:55:00,0,6
1:06:09:06:36,8,19
1:06:08:59:00,19,8
1:06:09:17:51,6,0
1:06:09:05:00,0,6
1:06:09:16:36,8,19
1:06:09:09:00,19,8
1:06:09:27:51,6,0
1:06:09:15:00,0,6
1:06:09:26:36,8,19
1:06:09:19:00,19,8
1:06:09:37:51,6,0
1:06:09:25:00,0,6
1:06:09:36:36,8,19
1:06:09:29:00,19,8
1:06:09:47:51,6,0
1:06:09:35:00,0,6
1:06:09:46:36,8,19
1:06:09:39:00,19,8
1:06:09:57:51,6,0
1:06:09:45:00,0,6
1:06:09:56:36,8,19
1:06:09:49:00,19,8
1:06:10:07:51,6,0
1:06:09:55:00,0,6
1:06:10:06:36,8,19
1:06:09:59:00,19,8
1:06:10:17:51,6,0
1:06:10:05:00,0,6
1:06:10:16:36,8,19
1:06:10:09:00,19,8
1:06:10:27:51,6,0
1:06:10:15:00,0,6
1:06:10:26:36,8,19
1:06:10:19:00,19,8
1:06:10:37:51,6,0
1:06:10:25:00,0,6
1:06:10:36:36,8,19
1:06:10:29:00,19,8
1:06:10:47:51,6,0
1:06:10:35:00,0,6
1:06:10:46:36,8,19
1:06:10:39:00,19,8
1:06:10:57:51,6,0
1:06:10:45:00,0,6
1:06:10:56:36,8,19
1:06:10:49:00,19,8
1:06:11:17:51,6,0
1:06:10:55:00,0,6
1:06:11:06:36,8,19
1:06:10:59:00,19,8
1:06:11:17:51,6,0
1:06:11:05:00,0,6
1:06:11:16:36,8,19
1:06:11:09:00,19,8
1:06:11:27:51,6,0
1:06:11:15:00,0,6
1:06:11:26:36,8,19
1:06:11:19:00,19,8
1:06:11:37:51,6,0
1:06:11:25:00,0,6
1:06:11:36:36,8,19
1:06:11:29:00,19,8
1:06:11:47:51,6,0
1:06:11:35:00,0,6
1:06:11:46:36,8,19
1:06:11:39:00,19,8
1:06:11:57:51,6,0
1:06:11:45:00,0,6
1:06:11:56:36,8,19
1:06:11:49:00,19,8
1:06:11:07:51,6,0
1:06:11:55:00,0,6
1:06:12:06:36,8,19
1:06:11:59:00,19,8
1:06:11:17:51,6,0
1:06:12:05:00,0,6
1:06:12:16:36,8,19
1:06:12:09:00,19,8
1:06:12:27:51,6,0
1:06:12:15:00,0,6
1:06:12:26:36,8,19
1:06:12:15:00,0,6
1:06:12:26:36,8,19
1:06:12:19:00,19,8
1:06:12:37:51,6,0
1:06:12:25:00,0,6
1:06:12:36:36,8,19
1:06:12:25:00,0,6
1:06:12:36:36,8,19
1:06:12:29:00,19,8
1:06:12:47:51,6,0
1:06:12:35:00,0,6
1:06:12:46:36,8,19
1:06:12:35:00,0,6
1:06:12:46:36,8,19
1:06:12:39:00,19,8
1:06:12:57:51,6,0
1:06:12:45:00,0,6
1:06:12:56:36,8,19
1:06:12:45:00,0,6
1:06:12:56:36,8,19
1:06:12:49:00,19,8
1:06:12:07:51,6,0
1:06:12:55:00,0,6
1:06:13:06:36,8,19
1:06:12:55:00,0,6
1:06:13:06:36,8,19
1:06:12:59:00,19,8
1:06:13:17:51,6,0
1:06:13:05:00,0,6
1:06:13:16:36,8,19
1:06:13:09:00,19,8
1:06:13:27:51,6,0
1:06:13:15:00,0,6
1:06:13:26:36,8,19
1:06:13:19:00,19,8
1:06:13:37:51,6,0
1:06:13:25:00,0,6
1:06:13:36:36,8,19
1:06:13:29:00,19,8
1:06:13:47:51,6,0
1:06:13:35:00,0,6
1:06:13:46:36,8,19
1:06:13:39:00,19,8
1:06:13:57:51,6,0
1:06:13:45:00,0,6
1:06:13:56:36,8,19
1:06:13:49:00,19,8
1:06:14:07:51,6,0
1:06:13:55:00,0,6
1:06:14:06:36,8,19
1:06:13:59:00,19,8
1:06:14:17:51,6,0
1:06:14:05:00,0,6
1:06:14:16:36,8,19
1:06:14:09:00,19,8
1:06:14:27:51,6,0
